num_measurements,num_modules,lda1,lda2,sparsity,gene_set_size,avg_best_score
10,10,9.0,0.775,0.01,1000,0.46710975488219064
10,10,9.0,1.0,0.027500000000000004,500,0.4840795844975715
10,10,9.0,0.775,0.045000000000000005,1000,0.5092483935958604
10,10,9.0,1.0,0.01,1000,0.4475278004100258
10,10,9.0,0.775,0.08,1000,0.4704763087464078
10,10,9.0,0.775,0.0625,500,0.4202664063704832
10,10,9.0,0.55,0.045000000000000005,5000,0.572794828581027
10,10,9.0,1.0,0.045000000000000005,500,0.4687293550898354
10,10,9.0,0.775,0.01,500,0.402172272912068
10,10,9.0,0.775,0.0625,1000,0.5287490367128191
10,10,9.0,1.0,0.0625,500,0.47521733619275397
10,10,9.0,1.0,0.045000000000000005,1000,0.4346886604860753
10,10,9.0,0.55,0.08,5000,0.5780773713047369
10,10,9.0,0.55,0.0625,5000,0.5724792521060099
10,10,9.0,0.775,0.08,500,0.43698754959707553
10,10,9.0,0.775,0.045000000000000005,500,0.46142580830635627
10,10,9.0,0.775,0.027500000000000004,1000,0.5507371765920044
10,10,9.0,1.0,0.0625,1000,0.513254216463225
10,10,9.0,1.0,0.027500000000000004,1000,0.42617836662944397
10,10,9.0,1.0,0.08,500,0.4675944093058468
10,10,11.5,0.1,0.01,5000,0.44089632787224187
10,10,9.0,1.0,0.01,5000,0.5638416170151123
10,10,11.5,0.1,0.027500000000000004,500,0.346443486623342
10,10,11.5,0.1,0.027500000000000004,5000,0.44700215049750874
10,10,11.5,0.1,0.045000000000000005,500,0.31646941141865875
10,10,11.5,0.1,0.01,500,0.2692372959716419
10,10,9.0,1.0,0.0625,5000,0.6143505114831198
10,10,9.0,0.775,0.027500000000000004,5000,0.5943824079393787
10,10,9.0,0.775,0.0625,5000,0.5992213615659538
10,10,9.0,0.775,0.08,5000,0.5966621095515819
10,10,9.0,1.0,0.08,1000,0.5138596496196591
10,10,9.0,0.775,0.045000000000000005,5000,0.5864141728525993
10,10,11.5,0.1,0.0625,5000,0.45540846080885594
10,10,9.0,0.775,0.01,5000,0.5684745272633902
10,10,11.5,0.1,0.0625,500,0.33660385039245894
10,10,9.0,1.0,0.027500000000000004,5000,0.60121979514139
10,10,11.5,0.1,0.027500000000000004,1000,0.40479165075488044
10,10,9.0,1.0,0.045000000000000005,5000,0.6105842067206745
10,10,11.5,0.1,0.045000000000000005,5000,0.4448973096235419
10,10,11.5,0.1,0.08,5000,0.4642487484670732
10,10,11.5,0.1,0.08,500,0.3308716608271697
10,10,9.0,1.0,0.08,5000,0.6142262028503067
10,10,14.0,0.1,0.045000000000000005,5000,0.4472188237911078
10,10,14.0,0.1,0.0625,500,0.3146766234861525
10,10,14.0,0.1,0.08,5000,0.4605932161513743
10,10,14.0,0.1,0.0625,5000,0.45132521606705717
10,10,14.0,0.325,0.045000000000000005,500,0.3948264056489929
10,10,14.0,0.1,0.027500000000000004,5000,0.4495721059494707
10,10,14.0,0.1,0.01,500,0.3055532821488015
10,10,14.0,0.1,0.01,5000,0.4295184824445587
10,10,14.0,0.1,0.027500000000000004,500,0.33401448776137227
10,10,14.0,0.1,0.027500000000000004,1000,0.40293186914570234
10,10,14.0,0.1,0.01,1000,0.3643876196518186
10,10,14.0,0.325,0.08,500,0.3782644980232157
10,10,14.0,0.325,0.027500000000000004,1000,0.42564180772249516
10,10,14.0,0.1,0.08,1000,0.43779877022058883
10,10,14.0,0.325,0.01,1000,0.4179552351713314
10,10,14.0,0.55,0.027500000000000004,1000,0.36811721602014325
10,10,14.0,0.1,0.08,500,0.3163006515596105
10,10,14.0,0.325,0.027500000000000004,500,0.35815412048105616
10,10,14.0,0.1,0.045000000000000005,500,0.32605124752132963
10,10,14.0,0.1,0.0625,1000,0.428086778676324
10,10,14.0,0.325,0.0625,500,0.3891552823159895
10,10,14.0,0.55,0.045000000000000005,1000,0.5583803957315027
10,10,14.0,0.55,0.01,1000,0.4936839524652511
10,10,14.0,0.1,0.045000000000000005,1000,0.42190660971332433
10,10,14.0,0.55,0.045000000000000005,500,0.43668256213311085
10,10,14.0,0.325,0.045000000000000005,1000,0.48037783248312016
10,10,14.0,0.55,0.01,500,0.38935027115369497
10,10,14.0,0.325,0.01,500,0.33868753992737516
10,10,14.0,0.325,0.0625,1000,0.4893759662700122
10,10,14.0,0.325,0.0625,5000,0.5299580748292309
10,10,14.0,0.55,0.027500000000000004,500,0.432588442559256
10,10,14.0,0.55,0.0625,500,0.4305017951237039
10,10,14.0,0.325,0.08,1000,0.49610184412055053
10,10,14.0,0.55,0.027500000000000004,5000,0.5717186762571276
10,10,14.0,0.325,0.045000000000000005,5000,0.49796556616253984
10,10,14.0,0.325,0.01,5000,0.503142219134938
10,10,14.0,0.325,0.08,5000,0.5256325207749837
10,10,14.0,0.775,0.045000000000000005,500,0.43315885714098534
10,10,14.0,0.55,0.0625,1000,0.4781833829374612
10,10,14.0,0.325,0.027500000000000004,5000,0.4917039459507794
