repeat_id,num_measurements,num_modules,lda1,lda2,sparsity,gene_set_size,best_score
2,150,40,8.0,10.0,0.02,1000,0.8363069253010591
3,150,40,8.0,10.0,0.02,1000,0.8569423323932787
4,150,40,8.0,10.0,0.02,1000,0.8425411999799084
5,150,40,8.0,10.0,0.02,1000,0.8820738076501695
6,150,40,8.0,10.0,0.02,1000,0.8536979305527062
7,150,40,8.0,10.0,0.02,1000,0.8832868569075107
8,150,40,8.0,10.0,0.02,1000,0.884330762453619
9,150,40,8.0,10.0,0.02,1000,0.8804140492497586
10,150,40,8.0,10.0,0.02,1000,0.8572430851727735
1,200,40,8.0,10.0,0.02,500,0.9523679574009134
2,200,40,8.0,10.0,0.02,500,0.9627933129433724
3,200,40,8.0,10.0,0.02,500,0.959250235275479
4,200,40,8.0,10.0,0.02,500,0.9597296622228836
5,200,40,8.0,10.0,0.02,500,0.9562549225010897
6,200,40,8.0,10.0,0.02,500,0.9579317598879724
7,200,40,8.0,10.0,0.02,500,0.9630607779655831
8,200,40,8.0,10.0,0.02,500,0.9546048477358884
9,200,40,8.0,10.0,0.02,500,0.9559616147256911
10,200,40,8.0,10.0,0.02,500,0.961539506384736
